fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220616 124428	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	999983	0.0852658063832341	0.83890645643261	6118	1024	0.0143937288167625	13297000	84
20220616 124447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	76	TRUE	999983	0.0859003895679488	0.756256773233093	5718	877	0.0161719697512914	13386000	85
20220616 124458	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	999983	0.0888638980015194	0.996652412557486	5757	319	0.014328475695033	13067000	86
20220616 124509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	25	TRUE	999983	0.176092519654357	0.257379353652738	6030	1024	0.0157574555213302	13265000	87
20220616 124532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	999983	0.0723237282830022	0.366995343744919	5025	1018	0.0161868465804617	13439000	88
20220616 124543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	999983	0.182063708702931	0.32315328483046	4476	905	0.0165781898206126	13104000	89
20220616 124558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	106	TRUE	999983	0.079831864563819	0.759763426445378	6633	96	0.0160549253217295	13331000	90
20220616 124739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	617	TRUE	999983	0.010208466229322	0.575729689848711	4941	1024	0.0136495504388467	13398000	91
20220616 124840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	340	TRUE	999983	0.0194582022222101	0.505029421208268	6184	1024	0.0161255812416461	13543000	92
20220616 124852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	999983	0.171870698906544	0.301821847527259	7319	830	0.0225910750308612	12960000	93
20220616 124945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	359	TRUE	999983	0.0107627608643079	0.778642328383977	5942	666	0.0138866177800193	13293000	94
20220616 125014	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	999983	0.0417228375364797	0.328062116380302	6993	1014	0.0162255110336982	13352000	95
20220616 125042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	999983	0.0227296719117055	0.997970718561743	5699	1024	0.0131527321932547	13075000	96
20220616 125308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1025	TRUE	999983	0.0100411190184056	0.530178590361142	6382	39	0.0136072369329791	13266000	97
20220616 125451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1036	TRUE	999983	0.0127918380340854	0.200777959919906	6530	248	0.0140736080824842	13185000	98
20220616 125519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	999983	0.071744637352521	0.502866487790179	5927	1023	0.0162303486389556	13803000	99
20220616 125539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	999983	0.0815300684762866	0.481277274220754	6333	1021	0.016346157697874	13532000	100
20220616 125610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	140	TRUE	999983	0.0610984126588928	0.523924900112255	5584	1011	0.0161158153395462	13332000	101
20220616 125621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	999983	0.198967703061657	0.289782073803918	7745	1023	0.0173104434187015	13064000	102
20220616 125652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	205	TRUE	999983	0.0302997216333876	0.200871104124453	7201	467	0.0204937849134027	13109000	103
